TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202608041300,108,36,1.6,,,,1000.8,1010.2,,,35.6,26.6,60.0,34.8,,,,,,,,,,-,5,3,12.0,-,,,,2245,0.6,2.48,,60.4,31.1,31.6,31.1,29.0,,,,3,2.0
202608041400,108,23,1.2,,,,1000.2,1009.6,,,34.9,25.1,57.0,31.9,,,,,,,,,,-,6,6,13.0,-,,,,2094,0.1,1.06,,42.6,31.9,32.0,31.4,29.0,,,,3,2.0
202608041500,108,27,2.6,,,,999.7,1009.1,7.0,-1.8,36.2,26.0,56.0,33.6,,,,,,,,,,-,6,5,14.0,-,,,,2460,0.5,2.08,,57.0,31.8,32.2,31.7,29.1,,,,3,2.0
202608041600,108,27,1.8,,,,999.1,1008.5,,,36.4,25.8,55.0,33.2,,,,,,,,,,-,5,5,15.0,-,,,,2617,0.6,1.96,,49.1,32.7,32.7,32.0,29.2,,,,3,2.0
202608041700,108,34,3.8,,,,998.8,1008.2,,,35.9,26.3,58.0,34.2,,,,,,,,,,-,7,5,13.0,-,,,,2024,0.5,1.33,,47.0,32.6,32.8,32.2,29.3,,,,3,2.0
202608041800,108,32,3.9,,,,998.6,1008.0,7.0,-1.1,35.3,25.7,58.0,33.0,,,,,,,,,,-,5,5,15.0,-,,,,2475,0.8,1.09,,40.4,32.5,32.6,32.1,29.4,,,,3,2.0
202608041900,108,32,3.4,,,,998.8,1008.2,,,34.5,25.3,59.0,32.2,,,,,,,,,,-,5,1,,-,,,,2658,1.0,0.45,,34.2,32.1,32.2,31.9,29.5,,,,3,
202608042000,108,32,3.0,,,,998.7,1008.2,,,33.7,25.1,61.0,31.9,,,,,,,,,,-,7,1,,-,,,,2725,0.1,0.07,,31.6,31.6,31.8,31.6,29.6,,,,3,
202608042100,108,32,2.5,,,,998.7,1008.2,1.0,0.2,33.2,25.1,63.0,31.9,,,,,,,,,,-,7,1,,-,,,,2565,,,,30.5,31.1,31.4,31.3,29.7,,,,3,2.0
202608042200,108,36,0.9,,,,999.4,1008.9,,,32.7,24.9,64.0,31.5,,,,,,,,,,-,9,1,16.0,-,,,,2590,,,,29.9,30.8,31.1,31.1,29.7,,,,3,
202608042300,108,11,2.0,,,,999.4,1008.9,,,32.2,25.5,68.0,32.6,,,,,,,,,,-,10,4,15.0,-,,,,2316,,,,29.5,30.5,30.8,30.8,29.7,,,,3,
202608050000,108,14,2.9,,,,999.5,1009.0,2.0,0.8,31.7,25.0,68.0,31.7,,,,,,,,,,-,10,9,10.0,-,,,,2348,,,,29.5,30.3,30.6,30.6,29.7,,,,3,2.0
202608050100,108,9,0.7,,,,999.5,1009.0,,,31.2,25.5,72.0,32.6,,,,,,,,,,-,10,5,10.0,-,,,,1920,,,,28.8,30.1,30.3,30.4,29.7,,,,3,
202608050200,108,11,1.4,,,,999.3,1008.9,,,30.8,25.8,75.0,33.2,,,,,,,,,,-,10,2,10.0,-,,,,1770,,,,28.3,29.9,30.1,30.2,29.7,,,,3,
202608050300,108,14,1.9,,,,999.4,1009.0,4.0,0.0,30.4,25.2,74.0,32.1,,,,,,,,,,-,10,2,10.0,-,,,,2342,,,,27.9,29.7,29.9,30.1,29.6,,,,3,2.0
202608050400,108,5,1.0,,,,999.5,1009.1,,,29.9,24.9,75.0,31.5,,,,,,,,,,-,5,0,,-,,,,2513,,,,27.3,29.4,29.7,29.9,29.6,,,,3,2.0
202608050500,108,11,1.6,,,,999.6,1009.2,,,29.4,24.9,77.0,31.5,,,,,,,,,,-,2,0,,-,,,,2341,,,,26.9,29.2,29.5,29.7,29.5,,,,3,2.0
202608050600,108,2,1.5,,,,1000.0,1009.6,2.0,0.6,29.1,24.6,77.0,30.9,,,,,,,,,,-,2,0,,-,,,,2540,0.0,0.01,,26.9,29.0,29.3,29.5,29.5,,,,3,2.0
202608050700,108,7,1.0,,,,1000.3,1009.9,,,29.3,24.6,76.0,30.9,,,,,,,,,,-,0,0,,-,,,,2706,0.8,0.3,,28.0,28.9,29.2,29.4,29.4,,,,3,2.0
