# 서울시 자치구별 하수관 노후도 데이터
# 출처 및 방법론:
#   - 실측값: 2023년 12월 기준 (출처: 2025년 4월 국회 제출 서울시 자료,
#             조선일보·연합뉴스 보도 2025-04-xx)
#   - 추정값: 서울시 전체 평균(30년이상 55.5%, 50년이상 30.4%) 기준으로
#             도심/구도심/신시가지 특성을 반영해 산출.
#             추정값은 phase2 구현 후 실제 데이터로 교체 권장.
#   - 컬럼 설명:
#       gu            : 자치구명
#       ratio_30y     : 30년 이상 노후관 비율 (0.0~1.0)
#       ratio_50y     : 50년 이상 초고령관 비율 (0.0~1.0)
#       data_type     : measured(실측) / estimated(추정)
#       notes         : 비고

gu,ratio_30y,ratio_50y,data_type,notes
종로구,0.663,0.535,measured,2023년 12월 기준 실측 (50년이상 서울 1위)
용산구,0.652,0.485,measured,2023년 12월 기준 실측
도봉구,0.662,0.380,measured,30년이상 서울 2위
영등포구,0.636,0.457,measured,2023년 12월 기준 실측
서초구,0.632,0.340,measured,30년이상 서울 5위
마포구,0.620,0.454,measured,50년이상 서울 5위
성북구,0.615,0.477,measured,50년이상 서울 3위
구로구,0.608,0.435,measured,50년이상 서울 6위
성동구,0.595,0.422,measured,50년이상 서울 7위
강남구,0.575,0.310,estimated,신시가지지만 1970~80년대 개발 — 30년이상 비율 높음
강서구,0.560,0.290,estimated,1980년대 개발지구 — 중간 수준
송파구,0.545,0.265,estimated,1980년대 개발지구 — 중간 수준
노원구,0.540,0.260,estimated,1980년대 노원 신시가지 개발
은평구,0.550,0.280,estimated,구도심+신시가지 혼재
서대문구,0.580,0.370,estimated,구도심 특성 — 노후도 상대적 높음
관악구,0.555,0.295,estimated,1970~80년대 개발 — 중간 수준
동대문구,0.570,0.340,estimated,구도심 특성
양천구,0.530,0.250,estimated,목동 신시가지 1980년대 개발
강동구,0.525,0.240,estimated,1980년대 개발지구
동작구,0.545,0.270,estimated,1970~80년대 개발 혼재
중랑구,0.535,0.255,estimated,1980년대 개발지구
강북구,0.580,0.360,estimated,구도심 특성 — 노후도 상대적 높음
광진구,0.520,0.235,estimated,1980년대 개발지구
금천구,0.510,0.225,estimated,1990년대 개발 — 상대적으로 신규
중구,0.625,0.470,estimated,도심부 구도심 — 노후도 높음 (실측 근접 추정)
