프로젝트코드 ,조사장비 ,좌표계코드 ,조사자,조사시작일,조사종료일,측선번호 ,순번 ,시작 X좌표 ,시작 Y좌표 ,종료 X좌표 ,종료 Y좌표 ,TM X좌표,TM Y좌표,경위도 X좌표,경위도 Y좌표,겉보기 비저항(ohm-m) 
B3913,IRIS의 SYSCAL JUNIOR,5174,,,,1,1,212790,457665,212591,459253,,,,,
B4196,프랑스 IRIS의 SYSCAL JUNIOR,5187,,,,1,1,207086.181,421800,206789.455,422247.608,,,,,
B4204,STING R1,5176,,,,1,1,148371.843,434441.569,148794.245,436459.184,,,,,
B4204,STING R1,5176,,,,1,2,148393.095,434432.526,148804.235,436450.416,,,,,
B4206,"Terrameter SAS 2,000 (ABEM, Sweden)",5181,,,,2,1,276798.4647,122137.7244,277246.8433,123208.5639,,,,,
B4206,"Terrameter SAS 2,000 (ABEM, Sweden)",5181,,,,3,1,277143.9469,119758.488,277115.4483,119954.8937,,,,,
B4206,"Terrameter SAS 2,000 (ABEM, Sweden)",5181,,,,4,1,276693.9727,1271718.673,276798.4647,122138.7244,,,,,
B4206,"Terrameter SAS 2,000 (ABEM, Sweden)",5181,,,,1,1,277115.4483,119954.8937,276874.2225,120717.6587,,,,,
B4209,테라미터 SAS1000,5183,,,,1,1,127433.988,219664.4891,127971.0511,219902.551,,,,,
B4209,테라미터 SAS1000,5183,,,,3,1,130460.8013,220635.6009,130518.0175,220741.0822,,,,,
B4209,테라미터 SAS1000,5183,,,,2,1,130457.3417,220648.973,130510.7435,220747.4222,,,,,
B4244,ABEM SAS-4000,5176,,,,2,1,268164.34,253792.21,268342.38,254911.38,,,,,
B4244,ABEM SAS-4000,5176,,,,1,1,268195.02,253730.23,268358.61,254892.51,,,,,
B4244,ABEM SAS-4000,5176,,,,3,1,268887.13,255635.69,269027.3,256423.3,,,,,
B4244,ABEM SAS-4000,5176,,,,4,1,268866.68,255656.6,269005.94,256444.38,,,,,
B4349,SYSCAL JUNIOR,4326,,,,2,1,198389.2,425925.8,198688.5,425337.6,411474.1684,7158.731044,198389.2,425925.8,200
B4349,SYSCAL JUNIOR,4326,,,,1,1,189211.8,426148.7,189505.6,425848.7,515450.8393,93024.2353,189211.8,426148.7,200
B4349,SYSCAL JUNIOR,4326,,,,1,2,189211.8,426148.7,189505.6,425848.7,515342.5281,93134.83252,189505.6,425848.7,3600
B4349,SYSCAL JUNIOR,4326,,,,2,2,198389.2,425925.8,198688.5,425337.6,411289.802,7521.058558,198688.5,425337.6,200
B4380,OYO Mc-OHM 2115,5187,,,,2,1,210668.8215,391669.4565,210334.2243,392130.9143,,,,,
B4380,OYO Mc-OHM 2115,5187,,,,1,1,213835.8239,388550.5803,213436.6587,389011.6704,,,,,
B4380,OYO Mc-OHM 2115,5187,,,,3,1,210642.6745,391657.4917,210319.8501,392102.7816,,,,,
B4380,OYO Mc-OHM 2115,5187,,,,4,1,208416.2668,392705.8938,207772.3306,393222.7234,,,,,
B4380,OYO Mc-OHM 2115,5187,,,,5,1,207449.129,394351.8244,207665.472,395440.4512,,,,,
B4509,SAS2000(스웨덴),5174,,,,1,1,351951.9833,236270.1252,352074.2859,236730.3878,,,,,
B4509,SAS2000(스웨덴),5174,,,,2,1,352422.5547,238830.3295,352372.5376,239105.0354,,,,,
B4547,Terrameter SAS 4000,5174,,,,1,1,407857.2638,208394.018,407857.2638,208694.018,,,,,
B4553,SAS4000,5174,,,,2,1,177453.85,328344.86,178768.63,328357.63,,,,,
B4553,SAS4000,5174,,,,1,1,178785.75,328376.71,177473.3,328377.23,,,,,
B4567,ABEM SAS4000,5174,,,,1,1,152020.4011,367320.4626,152338.8759,367137.5473,,,,,
B4619,"Mc-OHM, OYO, Jaoan",5186,,,,1,1,174687.2409,409884.6112,174926.6547,409743.3183,,,,,
B4631,sas300c,5176,,,,1,1,569318.5017,183665.5284,569419.3265,185263.9858,,,,,
B4760,Super Sting R8/IP™,5176,,,,2,1,226976.2153,319582.9347,227171.4324,319539.4713,,,,,
B4760,Super Sting R8/IP™,5176,,,,1,1,227001.5009,219178.38,227483.7138,219976.2118,,,,,
B4794,Terrameter SAS 4000,5186,,,,4,1,299794.1372,357773.3809,299856.9884,357695.6008,,,,,
B4794,Terrameter SAS 4000,5186,,,,16,1,300276.4553,357218.7734,300252.629,357121.6534,,,,,
B4794,Terrameter SAS 4000,5186,,,,1,1,296784.268,361419.753,297840.9668,360374.6567,,,,,
B4794,Terrameter SAS 4000,5186,,,,12,1,300238.3362,357195.9887,300296.2354,357114.4554,,,,,
B4794,Terrameter SAS 4000,5186,,,,20,1,300857.764,356164.893,300762.3714,356194.8973,,,,,
B4794,Terrameter SAS 4000,5186,,,,19,1,300859.0321,356169.7295,300763.6395,356199.7338,,,,,
B4794,Terrameter SAS 4000,5186,,,,18,1,300815.471,356184.275,300826.3251,356084.8658,,,,,
B4794,Terrameter SAS 4000,5186,,,,17,1,300820.4158,356185.0163,300831.2698,356085.6071,,,,,
